artist,track,uri,sum_stream_time,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Bad Bunny,Tití Me Preguntó,spotify:track:1IHWl5LamUGEuP4ozKQSXZ,243716,0.65,0.715,5,-5.198,0,0.253,0.0993,0.000291,0.126,0.187,106.672,243717,4
Taylor Swift,Fifteen,spotify:track:2nqio0SfWg6gh2eCtfuMa5,2260,0.559,0.646,7,-4.61,1,0.0272,0.116,0.0,0.32,0.289,95.466,294419,4
Isak Thomas and The Stoop Boys,Heaven,spotify:track:5jXECssVEET9zaFn0s2Ar7,1134160,0.745,0.433,4,-8.052,1,0.0379,0.314,0.0121,0.112,0.737,75.004,185680,4
Restaurant Jazz,Midnight Action,spotify:track:0hYnbunre5XBNgJpMgz50d,91913,0.507,0.225,3,-19.269,1,0.0433,0.894,0.868,0.0942,0.747,142.556,91913,3
Nataly Dawn,Blue Light,spotify:track:6xUWLirQvB8CLxKglSqnJs,1822817,0.438,0.233,7,-9.84,1,0.0314,0.908,7.61e-05,0.11,0.177,122.185,251118,3
Creedence Clearwater Revival,Fortunate Son,spotify:track:4BP3uh0hFLFRb5cjsgLqDh,720786,0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,140773,4
Taylor Swift,Wildest Dreams,spotify:track:1Ov37jtRQ2YNAe8HzfczkL,661320,0.583,0.67,8,-7.289,1,0.0646,0.0374,0.0001,0.126,0.498,140.061,220433,4
Taylor Swift,Babe (Taylor's Version) (From The Vault),spotify:track:0v4z1tuZvn6LGknom9Qx7d,8788,0.584,0.743,4,-7.075,1,0.0931,0.0538,2.83e-06,0.121,0.746,167.844,224240,4
James McMurtry,Choctaw Bingo,spotify:track:2sKMKKLObm8wq7YTeB6Yxd,1588823,0.343,0.736,11,-6.307,0,0.0511,0.727,2.61e-05,0.0581,0.659,205.573,529080,4
Pressgang Mutiny,Bully in the Alley,spotify:track:0yLu8S6a1u1p3vJF2n8k6S,191744,0.774,0.275,5,-8.509,0,0.0458,0.953,0.0,0.0971,0.805,80.235,246130,3
Lupe Fiasco,Fighters (feat. Matthew Santos),spotify:track:2Kh1dZBgQAJQ2ZQ6AjMQdp,98506,0.664,0.597,2,-8.731,1,0.165,0.869,0.0,0.136,0.581,140.061,213333,4
SZA,Shirt,spotify:track:34ZAzO78a5DAVNrYIGWcPm,181830,0.824,0.453,3,-9.604,0,0.0968,0.146,0.0273,0.0896,0.552,119.959,181831,4
Ben Rosett,Flareon,spotify:track:6WWMY8tvo5qPCPrZ3VNsth,148526,0.56,0.929,4,-4.999,0,0.0578,0.115,0.0014,0.413,0.781,129.875,148527,5
PUP,Kids,spotify:track:6Dgix2xCbnqigfrjulm24R,135433,0.492,0.964,8,-3.475,1,0.0729,0.00046,0.00582,0.434,0.703,157.036,210160,4
Rex Orange County,Best Friend,spotify:track:3rPtS4nfpy7PsARctAWpzd,800722,0.576,0.714,6,-5.247,1,0.0595,0.395,0.0,0.115,0.321,144.981,262231,4
Kobi Onyame,Chosen Ones,spotify:track:4X1FXkgwu5gqCeN8wP98In,1086946,0.715,0.653,2,-8.098,1,0.0877,0.158,2.46e-05,0.149,0.267,119.877,248000,4
Gabriel Sayer,Pfizer,spotify:track:4T1pEFUMRcp383kBMkrEv8,186575,0.784,0.877,4,-4.531,1,0.054,0.0818,0.121,0.0755,0.792,84.033,186576,4
Cabu,Sun Moon,spotify:track:7aBh7zmJbRT6YcdYsYU9kn,154500,0.636,0.827,1,-9.321,1,0.226,0.237,0.000114,0.324,0.652,113.714,154500,4
Greentea Peng,Downers - A COLORS SHOW,spotify:track:7qBnnlFavJKaDal2u40GOa,2312254,0.682,0.394,8,-13.029,1,0.198,0.258,0.0,0.0724,0.446,107.987,220000,4
Post Malone,Take What You Want (feat. Ozzy Osbourne & Travis Scott),spotify:track:7CZyCXKG6d5ALeq41sLzbw,931125,0.499,0.8,1,-2.665,0,0.0502,0.0906,0.0,0.147,0.272,139.919,229573,4
Bad Suns,Life Was Easier When I Only Cared About Me,spotify:track:0eLXdwrMjL7kHzpob9zXli,1615075,0.628,0.912,1,-4.785,1,0.0356,0.0067,0.00646,0.136,0.746,139.98,231125,4
easy life,pop tarts,spotify:track:3P23kcmBXrFyGmbthN3DLK,947627,0.635,0.361,4,-10.161,1,0.0595,0.655,0.000534,0.512,0.243,137.034,187419,4
Alina Baraz,Electric (feat. Khalid),spotify:track:2mj7x99sNUsVHPBRK51zlG,1545948,0.599,0.396,10,-10.489,0,0.0392,0.738,2.19e-05,0.102,0.134,111.072,246327,4
Awfbeat,Better Than Me,spotify:track:3vySowqATYhF3Nn9e4h7sO,2239852,0.642,0.69,10,-6.608,1,0.0944,0.454,0.000647,0.121,0.697,177.968,247500,4
Frank Ocean,Swim Good,spotify:track:3CgZCQyuyxHRMWB9BTwmni,3616,0.653,0.668,0,-8.183,1,0.0881,0.00116,0.00269,0.0731,0.711,160.048,257187,4
Florence + The Machine,June,spotify:track:2yoaXLItTfWNpdFFpdF3Ti,250636,0.363,0.362,5,-8.516,1,0.0339,0.28,2.03e-06,0.142,0.179,146.104,221973,4
Panic! At The Disco,Say Amen (Saturday Night),spotify:track:76vMKwFtdDDCLcM6zXybjB,12772,0.491,0.867,6,-2.313,0,0.103,0.167,0.0,0.458,0.602,167.965,189187,4
Annabelle Maginnis,Hear My Mind,spotify:track:3LnoUEbrOO6fhZBeOlcRVg,239353,0.761,0.56,5,-6.606,0,0.0422,0.0936,0.0331,0.0773,0.214,114.041,239354,4
Hans Zimmer,Harry Haft,spotify:track:0MOXbA4TAtU5hHgaoNzl8g,315715,0.148,0.0701,2,-23.598,0,0.0425,0.814,0.942,0.0943,0.0358,81.661,195691,4
Jeff Draco,Someone You Don't Need,spotify:track:2EqUPhUBvMc2ZVQ3oPSKgU,843071,0.756,0.536,11,-7.144,0,0.284,0.0666,1.47e-05,0.108,0.653,75.033,210023,4
Steve Miller Band,Fly Like An Eagle,spotify:track:3e0FzZjTXOUtiJGSClOBrI,983852,0.561,0.754,9,-12.769,0,0.112,0.61,0.0194,0.328,0.642,100.08,282693,4
99 Neighbors,19,spotify:track:2p005c7nrW6xV4EOxKY2BW,509727,0.62,0.514,0,-9.351,0,0.35,0.904,3.75e-05,0.11,0.279,120.083,250480,4
99 Neighbors,Thunder,spotify:track:5dSMIKHTQEE641IEpWKEOh,1130561,0.763,0.341,4,-10.798,0,0.372,0.522,0.000221,0.111,0.511,67.43,299315,4
Toro y Moi,Girl Like You,spotify:track:1AttIxgSuCJHB5ctgfsg6T,223773,0.63,0.823,1,-5.744,1,0.0597,0.348,0.0384,0.0801,0.397,169.963,223773,4
Dream Widow,Cold,spotify:track:1QivlVy4J2yWaCZ6RnWl70,313373,0.38,0.969,1,-6.147,1,0.0649,0.000764,0.0241,0.304,0.352,132.869,313373,4
Slash,Dirty Girl,spotify:track:5BrQMw5Xy8OU8a1qQGGv8Y,21391,0.285,0.947,6,-3.288,0,0.155,0.00117,0.0,0.0609,0.551,171.046,254027,4
The Chordettes,Mister Sandman,spotify:track:17CKZQwWeBWiFP9nKjWmbJ,3298111,0.769,0.692,9,-7.355,1,0.0376,0.787,0.0,0.102,0.574,127.216,135307,4
Avicii,Without You (feat. Sandro Cavazza),spotify:track:6Pgkp4qUoTmJIPn7ReaGxL,242095,0.662,0.858,2,-4.844,1,0.0428,0.00163,0.0,0.0456,0.295,133.993,181673,4
Blank Range,Opening Band,spotify:track:4nLvPDOqcMHSF94UEN1Mp0,870104,0.554,0.685,7,-5.502,1,0.0301,0.285,0.000216,0.123,0.503,92.16,215227,4
Rainbow Kitten Surprise,Painkillers,spotify:track:6fc51JZVE0Yijdi6RuoLFv,695443,0.754,0.405,7,-11.547,1,0.0378,0.466,0.00179,0.1,0.0843,114.938,213973,4
DLG.,Lil Mama,spotify:track:2ruM3LyzFOnXfrjmEIFvut,200816,0.707,0.542,5,-9.747,0,0.0783,0.366,0.000172,0.0984,0.392,147.102,200816,4
Travis Scott,HIGHEST IN THE ROOM,spotify:track:3eekarcy7kvN4yt5ZFzltW,539684,0.598,0.427,7,-8.764,0,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,175721,4
La Roux,Bulletproof,spotify:track:3kMrazSvILsgcwtidZd1Qd,51470,0.674,0.882,3,-2.771,0,0.0477,0.000441,6.47e-05,0.068,0.682,123.016,205733,4
Alina Gingertail,The Parting Glass,spotify:track:2HFmmxCwONkvN4RFEs0OiZ,3530,0.294,0.15,2,-10.063,1,0.0408,0.851,0.0,0.134,0.378,76.819,126560,4
6LACK,Long Nights,spotify:track:1RDLbX9L2G4zDqxXCaMJo5,459294,0.744,0.325,3,-9.503,0,0.0642,0.358,1e-06,0.102,0.128,110.063,157021,4
Hello Yello,Feel That Again,spotify:track:3GsBszFF0WP9ms5LbKCoc7,122528,0.706,0.511,6,-8.48,1,0.0691,0.26,2.22e-06,0.175,0.366,144.042,122528,4
John Coltrane,Giant Steps - 2020 Remaster,spotify:track:1ZXu0ib26kWfQQngREMcU2,287893,0.417,0.42,0,-13.046,0,0.06,0.186,0.00111,0.185,0.517,147.143,287844,4
Brittany Howard,You'll Never Walk Alone,spotify:track:1x8Wm6urdzbDZcWpjtIUTK,138644,0.437,0.499,5,-5.49,1,0.0351,0.163,0.00337,0.222,0.0555,77.678,118476,4
Florence + The Machine,Shake It Out,spotify:track:4lY95OMGb9WxP6IYut64ir,844814,0.527,0.804,10,-4.168,1,0.0358,0.0104,0.0,0.105,0.221,107.486,277720,4
Ariana Grande,Dangerous Woman,spotify:track:6RUhbFEhrvGISaQ8u2j2JN,235946,0.664,0.602,4,-5.369,0,0.0412,0.0529,0.0,0.356,0.289,134.049,235947,3
Duke Ellington,Haupe,spotify:track:05d3KM9JTyNnnWIjo8PKvf,156306,0.415,0.0187,10,-20.209,1,0.0363,0.905,0.194,0.0979,0.14,111.42,156307,4
wewantwraiths,Balenciaga Blue,spotify:track:6RTugnzBZYUX6NQy8PLZJI,154951,0.722,0.759,0,-5.627,0,0.293,0.156,0.0,0.0784,0.339,95.867,154951,4
Labrinth,All For Us - from the HBO Original Series Euphoria,spotify:track:10hMM5nsZQf66ldBlgWBfG,277974,0.348,0.652,3,-7.145,1,0.0931,0.0165,0.000264,0.33,0.172,70.956,192987,4
The Irons,Goodbye Too Soon,spotify:track:5XDSdgm8GsWCX8hZ6vLhSU,242536,0.668,0.541,7,-10.553,1,0.0383,0.526,0.00268,0.308,0.604,154.992,278083,4
The National Reserve,California,spotify:track:0Pw4ccNHqL5akdSBfdw1GV,839175,0.523,0.593,0,-7.919,1,0.0291,0.000214,0.00332,0.143,0.544,120.507,260493,4
Austin Wintory,Innocence,spotify:track:68vp78JLM0ZJPaKRlzm1Yo,317428,0.157,0.172,7,-18.67,1,0.0427,0.832,0.932,0.104,0.0338,134.013,317429,4
Bad Company,Shooting Star - 2015 Remaster,spotify:track:4NSZz3qzNESLWfCqglnylo,1193306,0.39,0.589,9,-9.363,1,0.0384,0.258,3.91e-05,0.069,0.599,166.093,377413,4
Heno.,Coffee,spotify:track:6y8d7MscUTsSmEfJJ89eUR,180512,0.634,0.524,8,-13.081,0,0.292,0.811,0.105,0.12,0.346,116.814,180513,4
Golden Vessel,that's us,spotify:track:7hdJ19mc75khsTuCYcJwRL,162406,0.795,0.404,9,-8.616,1,0.0609,0.531,0.715,0.197,0.539,126.003,162407,4
Big Wild,Heaven,spotify:track:3yyYITDgnjAnJ33cn4E9gF,5904455,0.66,0.545,6,-7.246,1,0.0333,0.228,0.136,0.583,0.0985,115.025,217043,4
Roy Blair,I DONT KNOW ABOUT HIM,spotify:track:0n1g2VqMpcYJVzEHvSpQPs,957714,0.706,0.573,9,-6.919,1,0.0788,0.189,0.00213,0.136,0.342,135.062,238255,4
Cardi B,Hot Shit (feat. Ye & Lil Durk),spotify:track:3uJFmluXzYedoJcvhpC1AW,423298,0.878,0.685,9,-5.28,1,0.225,0.00152,0.0,0.0753,0.523,157.003,211649,4
Conway the Machine,Stressed (with Wallo267),spotify:track:5M6ow9HqYJhIL3FOt8QlCb,320000,0.523,0.641,2,-8.028,1,0.276,0.198,0.0,0.234,0.305,76.837,320000,4
pluko,High Hopes,spotify:track:0N3FvAOPKg4oGJLVshk72Y,736032,0.784,0.698,0,-8.353,1,0.193,0.0426,0.0,0.232,0.688,112.065,179844,4
Pomplamoose,The Logical Song,spotify:track:0B0KlRZWEkOHe8qimJwkeT,447820,0.723,0.609,0,-9.541,0,0.0486,0.133,0.00455,0.121,0.784,120.032,223910,4
Pauline Herr,sorry for the way i am,spotify:track:5pj3hwGnUQHFaHLwffndoB,165600,0.369,0.567,2,-7.385,1,0.0815,0.204,1.62e-05,0.426,0.182,81.048,165600,4
Kiiara,I Still Do,spotify:track:1LZZo0JZZ65g5VN3FR0qw4,189097,0.75,0.515,1,-4.478,0,0.177,0.168,0.0,0.0807,0.62,150.015,189097,4
Jamestown Revival,Working on Love,spotify:track:5VZb5kk9sfjRKWaHHhY0Td,12532,0.347,0.099,7,-15.864,1,0.0338,0.756,0.0201,0.157,0.179,123.307,238079,4
Kid Bloom,Electric U,spotify:track:4yEw9bcmDHgIgqe8BCyDWy,171696,0.935,0.259,1,-11.088,0,0.0517,0.378,0.000463,0.0611,0.931,112.019,171696,4
Jackson Lundy,9 to 5,spotify:track:0RjCn9hDk2EJ1r4wjv2chN,182552,0.81,0.505,8,-6.28,0,0.284,0.279,0.0226,0.0969,0.655,75.957,182552,4
Caribbean Pirates Steel Band,Killing Me Softly,spotify:track:72VbPUOfahCzyWyVoVH5jX,288213,0.791,0.577,8,-7.918,1,0.061,0.164,0.882,0.0636,0.656,68.57,288213,4
Méav,Once You Were My Lover,spotify:track:09F7rmAgIl6TtJQpoA99bi,8243,0.543,0.546,4,-9.61,0,0.0348,0.353,1.7e-06,0.119,0.544,118.174,215440,4
Goldensuns,Easy Love,spotify:track:64IQEaKsmyC1cdG0XYWaod,243126,0.584,0.481,2,-6.707,1,0.0257,0.0424,0.00232,0.0794,0.383,139.969,243126,4
Daniela Andrade,La Vie En Rose,spotify:track:0VxocBntP1XTZRsR9ZURPS,643193,0.475,0.149,4,-11.429,1,0.0395,0.844,0.0,0.14,0.318,95.423,105500,4
Dave Matthews Band,Jimi Thing,spotify:track:6aLZkgAUXzk1iCWYL4UVev,1014560,0.612,0.787,9,-6.471,1,0.0389,0.00873,1.4e-06,0.17,0.674,98.563,357173,4
Chris Stapleton,Was It 26,spotify:track:6uENbhewy5FL4lQ0gRZWzD,597738,0.564,0.435,0,-9.387,1,0.0368,0.496,5.01e-06,0.0861,0.332,143.713,289093,4
Lianne La Havas,Bittersweet - Radio Edit,spotify:track:7CNtRYYyhNJKXFr2bQ5rv2,1433362,0.57,0.409,5,-7.555,0,0.0331,0.345,0.000188,0.219,0.304,137.8,236640,4
Jaden,Rainbow Bap,spotify:track:0hmA5UgR7wphVWN83AVDgF,346789,0.73,0.46,1,-8.301,0,0.224,0.438,0.00102,0.126,0.226,97.947,280308,4
Unknown Mortal Orchestra,Waves of Confidence,spotify:track:1vfA9DwlwC3O089oNrYdAf,122993,0.861,0.287,9,-11.944,1,0.0552,0.857,0.945,0.0614,0.742,118.85,354480,4
Elton John,Hold Me Closer - Joel Corry Remix,spotify:track:5KbhvaeqKIB2bZcJMyfezl,745782,0.642,0.887,0,-5.439,1,0.0416,0.0173,5.75e-05,0.246,0.117,125.994,248595,4
Diddy,Gotta Move On (Cool & Dre Remix),spotify:track:7jHsvigoQzaoiJXSwJsvlV,123663,0.824,0.594,6,-6.588,0,0.0853,0.191,0.0,0.125,0.636,102.971,172427,4
The Weeknd,Take My Breath - Single Version,spotify:track:6OGogr19zPTM4BALXuMQpF,246892,0.748,0.74,8,-6.01,1,0.0484,0.0107,2.18e-05,0.101,0.518,121.004,220196,4
Chymes,Bad,spotify:track:1oQuJ4kxK9kOU4p1FZb6Nq,160005,0.856,0.555,1,-8.632,1,0.069,0.0465,0.000274,0.0723,0.507,89.998,160006,4
Travis Scott,Goosebumps - Remix,spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,162802,0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,124.917,162803,4
Beccaisleeping,can we just vibe,spotify:track:5NSjjCKTpWFueVZS9XmBND,1430,0.886,0.514,9,-11.139,1,0.0833,0.0631,0.000406,0.0954,0.204,136.031,114390,4
Mayer Hawthorne,Rare Changes,spotify:track:1HRlVSpkT9NtMoPg8xohzY,188906,0.663,0.801,1,-4.057,0,0.0289,0.0214,0.000541,0.126,0.65,88.997,188906,4
Jax Anderson,Good Day (feat. MisterWives and Curtis Roach),spotify:track:16YKH7JpuiKtfxTAdKXsk5,432000,0.557,0.673,1,-6.616,1,0.246,0.279,2.03e-05,0.0719,0.501,76.241,216000,4
Yuno,No Going Back,spotify:track:356aM3w6i5v1cltIzOnVTP,428786,0.714,0.708,2,-5.524,0,0.027,0.0112,0.0141,0.0609,0.902,93.005,208200,4
Charlie Sztyk,Pack a Day,spotify:track:7eBhzegzgFcQVx2o7ICk9x,422448,0.788,0.366,8,-13.443,1,0.0374,0.858,0.628,0.253,0.362,98.027,211224,4
Mt. Joy,Let Loose,spotify:track:4xXglb2SBiHnqPMQiItlrG,9200,0.514,0.642,0,-6.938,1,0.0326,0.496,0.00506,0.134,0.618,147.031,221947,4
banzai florist,17 AGAIN,spotify:track:2S25Td0lk115UF6BgyAIFE,168657,0.658,0.641,1,-6.146,0,0.03,0.613,0.0315,0.0724,0.666,80.997,168658,4
Rachel Bobbitt,Iris Road,spotify:track:4jnE0kIfLcrW3221E4kmsU,1125812,0.437,0.725,4,-5.557,0,0.0323,0.496,0.000146,0.201,0.369,144.873,217241,4
Penguin Prison,Better,spotify:track:3mcClOqu2MTaxTOlyplVRq,189840,0.751,0.526,2,-7.438,1,0.0556,0.228,0.274,0.135,0.562,100.002,193627,4
DJ Khaled,STAYING ALIVE (feat. Drake & Lil Baby),spotify:track:0g2Bbgy7P41pFjMWJuzsf4,5859,0.718,0.461,4,-7.676,0,0.0797,0.068,0.0,0.283,0.181,129.953,178176,4
Joshua James,Broken Tongue,spotify:track:3gjsIBdqjGB72XoJnrIWmw,264164,0.636,0.546,0,-9.417,0,0.0315,0.439,3.06e-05,0.577,0.454,114.125,193064,4
St. Paul & The Broken Bones,Sanctify,spotify:track:26Vcf2qFrnaa0pFJkGFh61,1360436,0.418,0.344,7,-8.42,1,0.0391,0.103,0.198,0.214,0.231,111.709,355627,4
Stick Figure,Above the Storm,spotify:track:1mOQwe1UcsuK3l3MGFtim6,315368,0.773,0.752,5,-6.537,0,0.136,0.234,0.569,0.093,0.656,168.002,294730,4
PUBLIC,Honey In The Summer,spotify:track:69KERH8EU5P2VwxWlmOVcU,2405066,0.784,0.589,8,-7.546,0,0.0378,0.0192,8.35e-05,0.221,0.725,114.066,200000,4
SprngBrk,Mushrooms,spotify:track:2vyKhnlv4oEC7l3buuJBkN,188800,0.707,0.664,7,-5.697,0,0.0455,0.0511,0.0,0.086,0.294,149.984,188800,4
Aminé,Spice Girl,spotify:track:4HW5kSQ8M2IQWZhSxERvla,2287433,0.693,0.46,0,-7.912,0,0.226,0.392,0.0,0.157,0.873,78.09,173947,4
Bay Ledges,Up,spotify:track:2o7pJCFJjWEvPiRipdRFe7,247502,0.723,0.49,8,-8.995,0,0.0692,0.441,1.04e-05,0.108,0.581,136.12,245353,4
Pomplamoose,Hide and Seek,spotify:track:2B8AteQFzBmsq3oSgjZ6FA,235774,0.794,0.43,8,-7.652,1,0.0517,0.607,0.000115,0.116,0.419,120.025,167084,4
Charley Crockett,I Am Not Afraid,spotify:track:5pD6DyYeglUby2x5CXrqfA,164538,0.57,0.435,11,-6.539,0,0.0336,0.664,0.000884,0.13,0.569,83.255,164539,4
Igor Stravinsky,Ebony Concerto: II. Andante,spotify:track:7FrQUaZH2gJH4lay7P3EKf,2330,0.246,0.00293,0,-39.852,0,0.0425,0.978,0.063,0.0975,0.152,132.67,138960,3
Scary Pockets,How Deep is Your Love,spotify:track:79EMDmR3k8oYUsxngPOsFI,1519675,0.376,0.651,8,-5.717,1,0.125,0.345,0.0,0.124,0.928,182.633,186656,4
Ruel,SOMEONE ELSE'S PROBLEM,spotify:track:3yaLVo3UBWXEy9FcHl8kOb,160000,0.524,0.511,9,-5.673,1,0.0621,0.3,2.6e-05,0.114,0.444,171.648,160000,4
Hank Jones,Arigato,spotify:track:1zrBCW09btQ4ucxccmD4EZ,176573,0.442,0.391,9,-22.319,0,0.0316,0.732,0.0814,0.168,0.729,155.882,176573,4
Marc Rebillet,You Were There,spotify:track:3WDzw6l5X1HN3HIsikhoWa,645968,0.836,0.231,7,-17.125,1,0.0479,0.216,0.0105,0.0972,0.379,130.697,210742,4
CJ Trillo,Distance,spotify:track:0crd5aIUPe43pfq4wr9Cnm,828331,0.797,0.642,6,-5.381,1,0.135,0.48,0.0327,0.11,0.206,160.066,205558,4
Tove Lo,disco tits,spotify:track:1TIiWomS4i0Ikaf9EKdcLn,223794,0.79,0.728,7,-6.523,1,0.0612,0.025,0.00106,0.172,0.333,110.059,223795,4
Rainbow Kitten Surprise,Our Song,spotify:track:4aeW1xk0D7GDiuAdR04FXz,158015,0.658,0.713,7,-6.527,1,0.113,0.196,8.02e-06,0.0725,0.534,95.748,116220,4
Wintertime,Me & Ben,spotify:track:4vrzpvXILOhfFaMbFaKFiZ,165120,0.582,0.532,9,-14.215,1,0.207,0.36,0.539,0.0736,0.531,124.93,165120,4
HARBOUR,To Find Yourself,spotify:track:48By4tlROHXqwx5apHLHMd,57901,0.347,0.0489,9,-17.261,1,0.0345,0.937,0.00573,0.0978,0.0363,66.445,57901,4
Foreigner,Heart Turns to Stone,spotify:track:4aFNkzXifTfkc452lMHmym,0,0.622,0.873,9,-7.03,0,0.0339,0.0184,0.00035,0.0997,0.58,120.142,250773,4
99 Neighbors,Fly,spotify:track:6SNtS0rZdt1TRewlY7a8pN,438458,0.536,0.645,0,-6.106,1,0.487,0.724,0.0,0.108,0.499,84.742,219229,4
Noah Mac,All She Want Is Gold,spotify:track:46Z3Vy1og3iGMioBJwDXuv,195373,0.808,0.199,6,-12.539,1,0.174,0.811,0.00123,0.117,0.548,97.442,195373,4
AG Club,Memphis,spotify:track:5ChkQ9kE4wc2lWgBnrbD7k,200463,0.545,0.627,1,-7.977,1,0.525,0.162,0.0,0.226,0.486,74.475,200464,4
FL Dusa,Bad Man (feat. Kevin Gates),spotify:track:2cDq2RpbcpnPxZ5kGOIys1,162049,0.748,0.68,1,-5.994,1,0.18,0.137,0.0,0.24,0.615,121.983,162049,4
Denzel Curry,The Ills,spotify:track:3xYvDtt9IxWn6xJNapCv9u,2263429,0.729,0.685,10,-7.318,0,0.284,0.383,0.0,0.0624,0.46,83.667,202853,4
Ripp Flamez,Wavez,spotify:track:3EtejATfugCRcUWr1CKf40,119238,0.669,0.54,1,-7.645,1,0.0374,0.0435,0.0,0.09,0.44,82.012,159190,4
Tom Petty and the Heartbreakers,Swingin',spotify:track:61SdG3F3LncuuMLAS8oN6j,747696,0.405,0.6,7,-5.599,1,0.0254,0.00472,2.27e-06,0.29,0.399,92.815,330307,4
MisterWives,decide to be happy,spotify:track:5icIdyBlKaRbhzPJU68xMu,207493,0.592,0.804,5,-5.11,0,0.0545,0.21,0.0,0.318,0.554,74.98,207493,4
Diversify,Sharp Knife,spotify:track:7rujIN9bKz4XiHwhHxZIC8,216774,0.605,0.725,7,-6.674,0,0.0314,0.143,0.0,0.112,0.263,123.975,216774,4
George Gershwin,Rhapsody in Blue,spotify:track:7oB0QBEnGRIJjvlDc8YnM6,4936330,0.305,0.184,9,-18.342,1,0.0409,0.969,0.781,0.132,0.0771,70.813,987267,4
Neal Francis,She's A Winner,spotify:track:03Vm47dOcJdGlhJr7MPabC,306880,0.618,0.866,0,-6.532,1,0.123,0.0687,1.14e-06,0.0842,0.657,109.415,306880,4
The 1975,Oh Caroline,spotify:track:14dJexYlvd3t3XAtD1pYW1,212568,0.646,0.85,2,-5.466,1,0.0428,0.363,4.01e-05,0.0994,0.819,96.538,212568,4
The Weeknd,In The Night,spotify:track:25KybV9BOUlvcnv7nN3Pyo,740566,0.505,0.68,7,-4.993,1,0.0714,0.0796,0.0,0.0465,0.539,168.022,235653,3
Los Tigrillos,Vampiresa,spotify:track:26uwjXS3gdxAIceTXWrXAO,168026,0.858,0.896,0,-4.454,0,0.0491,0.202,0.0,0.0892,0.967,93.428,168027,4
FKJ,Risk - Galimatias Version,spotify:track:17Eb97v6hdjqA90PFGzZ04,1576589,0.551,0.453,4,-8.128,0,0.468,0.447,0.000458,0.642,0.325,206.277,208946,4
Scary Pockets,Bad Habits,spotify:track:7wpCeM6QBGopVmEw0iyZp3,321466,0.735,0.655,11,-7.724,0,0.0781,0.146,0.000181,0.086,0.832,125.785,241341,4
